split,samples,min_tokens,mean_tokens,median_tokens,p95_tokens,max_tokens,over_512
train,728,228,234.27472527472528,235.0,238.64999999999998,239,0
validation,156,230,234.21153846153845,235.0,239.0,239,0
test,156,230,234.18589743589743,235.0,238.0,239,0
